Publikation;Erscheinungstag;Druckprodukt;Startzeit;Produktionsende;Geplante Auflage;Sektion;Papiername;Planungskommentar;?txt_PagesInBroadSheets;Struktur
AZ;2013-01-23;MO;2013-01-23 00:53:00;2013-01-23 01:08:00;9700;F1;45 g - Standard;;;
AZ;2013-01-23;KE;2013-01-23 01:23:00;2013-01-23 02:00:00;24300;F1;45 g - Standard;;;
WA;2013-01-24;EKE;2013-01-23 10:10:00;2013-01-23 10:53:00;57000;F1;45 g - Standard;;;
WA;2013-01-24;EKF;2013-01-23 11:08:00;2013-01-23 11:54:00;61000;F1;45 g - Standard;;;
WA;2013-01-24;EME;2013-01-23 12:09:00;2013-01-23 12:46:00;49000;F1;45 g - Standard;;;
MDG;2013-01-25;Papst;2013-01-23 16:10:00;2013-01-23 16:26:00;10000;F1;52 g - UPM Brite 69C;;;
AZ;2013-01-24;WE;2013-01-23 21:10:00;2013-01-23 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-24;FU;2013-01-23 21:38:00;2013-01-23 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-24;IS;2013-01-23 22:09:00;2013-01-23 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-24;ME;2013-01-23 22:52:00;2013-01-23 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-24;KF;2013-01-23 23:39:00;2013-01-24 00:16:00;24300;F1;45 g - Standard;;;
Donnerstag, 24. Januar 2013
AZ;2013-01-24;BU;2013-01-24 00:31:00;2013-01-24 00:38:00;4200;F1;45 g - Standard;;;
AZ;2013-01-24;KE;2013-01-24 00:53:00;2013-01-24 01:30:00;24300;F1;45 g - Standard;;;
AZ;2013-01-24;MO;2013-01-24 01:45:00;2013-01-24 02:00:00;9700;F1;45 g - Standard;;;
HF;2013-01-29;AL_1;2013-01-24 07:10:00;2013-01-24 08:33:00;110000;F1;52 g - UPM Brite 69C;;;
MDG;2013-01-30;Mayer;2013-01-24 11:10:00;2013-01-24 12:56:00;140000;F1;52 g - UPM Brite 69C;;;
WA;2013-01-26;ESA_1;2013-01-24 16:40:00;2013-01-24 17:30:00;33000;F1;45 g - Standard;;;
WA;2013-01-26;ESA;2013-01-24 17:45:00;2013-01-24 19:47:00;81000;F1;45 g - Standard;;;
AZ;2013-01-25;WE;2013-01-24 21:10:00;2013-01-24 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-25;FU;2013-01-24 21:38:00;2013-01-24 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-25;IS;2013-01-24 22:09:00;2013-01-24 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-25;ME;2013-01-24 22:52:00;2013-01-24 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-25;KF;2013-01-24 23:39:00;2013-01-24 23:58:00;12300;F1;45 g - Standard;;;
Freitag, 25. Januar 2013
AZ;2013-01-25;BU;2013-01-25 00:13:00;2013-01-25 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-25;MO;2013-01-25 00:35:00;2013-01-25 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-25;KE;2013-01-25 01:05:00;2013-01-25 01:42:00;24300;F1;45 g - Standard;;;
